Date,Utilisation
"Nov 02, 1990",84
"Nov 09, 1990",83
"Nov 16, 1990",84
"Nov 23, 1990",84
"Nov 30, 1990",89
"Dec 07, 1990",82
"Dec 14, 1990",83
"Dec 21, 1990",84
"Dec 28, 1990",84
"Jan 04, 1991",80
"Jan 11, 1991",80
"Jan 18, 1991",82
"Jan 25, 1991",83
"Feb 01, 1991",83
"Feb 08, 1991",84
"Feb 15, 1991",84
"Feb 22, 1991",85
"Mar 01, 1991",85
"Mar 08, 1991",84
"Mar 15, 1991",83
"Mar 22, 1991",82
"Mar 29, 1991",81
"Apr 05, 1991",83
"Apr 12, 1991",83
"Apr 19, 1991",84
"Apr 26, 1991",85
"May 03, 1991",86.6
"May 10, 1991",87
"May 17, 1991",86
"May 24, 1991",87
"May 31, 1991",90
"Jun 07, 1991",88
"Jun 14, 1991",90
"Jun 21, 1991",90
"Jun 28, 1991",89
"Jul 05, 1991",88
"Jul 12, 1991",86
"Jul 19, 1991",89
"Jul 26, 1991",89
"Aug 02, 1991",88
"Aug 09, 1991",88
"Aug 16, 1991",88
"Aug 23, 1991",89
"Aug 30, 1991",90
"Sep 06, 1991",91
"Sep 13, 1991",89
"Sep 20, 1991",89
"Sep 27, 1991",87
"Oct 04, 1991",87
"Oct 11, 1991",86
"Oct 18, 1991",83
"Oct 25, 1991",82
"Nov 01, 1991",82
"Nov 08, 1991",81
"Nov 15, 1991",82
"Nov 22, 1991",86
"Nov 29, 1991",84
"Dec 06, 1991",83
"Dec 13, 1991",86
"Dec 20, 1991",87
"Dec 27, 1991",87
"Jan 03, 1992",85
"Jan 10, 1992",86
"Jan 17, 1992",84
"Jan 24, 1992",81
"Jan 31, 1992",80
"Feb 07, 1992",82
"Feb 14, 1992",80
"Feb 21, 1992",80
"Feb 28, 1992",79
"Mar 06, 1992",79
"Mar 13, 1992",82
"Mar 20, 1992",84
"Mar 27, 1992",85
"Apr 03, 1992",87
"Apr 10, 1992",86
"Apr 17, 1992",86
"Apr 24, 1992",85
"May 01, 1992",85
"May 08, 1992",84
"May 15, 1992",87
"May 22, 1992",87
"May 29, 1992",89
"Jun 05, 1992",89
"Jun 12, 1992",89
"Jun 19, 1992",90
"Jun 26, 1992",92
"Jul 03, 1992",91
"Jul 10, 1992",91
"Jul 17, 1992",91
"Jul 24, 1992",90
"Jul 31, 1992",89
"Aug 07, 1992",90
"Aug 14, 1992",89
"Aug 21, 1992",89
"Aug 28, 1992",86
"Sep 04, 1992",85
"Sep 11, 1992",90
"Sep 18, 1992",89
"Sep 25, 1992",89
"Oct 02, 1992",90
"Oct 09, 1992",88
"Oct 16, 1992",88
"Oct 23, 1992",90
"Oct 30, 1992",90
"Nov 06, 1992",90
"Nov 13, 1992",90
